championName,gender,positions,species,resource,range_type,regions,release_date
Aatrox,Male,['Top'],['Darkin'],Manaless,['Melee'],"['Runeterra', 'Shurima']",2013-06-13
Ahri,Female,['Middle'],['Vastayan'],Mana,['Ranged'],['Ionia'],2011-12-14
Akali,Female,['Middle'],['Human'],Energy,['Melee'],['Ionia'],2010-05-11
Akshan,Male,['Middle'],['Human'],Mana,['Ranged'],['Shurima'],2021-07-22
Alistar,Male,['Support'],['Minotaur'],Mana,['Melee'],['Runeterra'],2009-02-21
Ambessa,Female,"['Top', 'Jungle']",['Human'],Energy,['Melee'],"['Piltover', 'Noxus']",2024-11-06
Amumu,Male,['Jungle'],"['Undead', 'Yordle']",Mana,['Melee'],['Shurima'],2009-06-26
Anivia,Female,['Middle'],"['Spirit', 'God']",Mana,['Ranged'],['Freljord'],2009-07-10
Annie,Female,['Middle'],"['Human', 'Magicborn']",Mana,['Ranged'],"['Noxus', 'Runeterra']",2009-02-21
Aphelios,Male,['Bottom'],"['Human', 'Spiritualist']",Mana,['Ranged'],['Targon'],2019-12-11
Ashe,Female,['Bottom'],"['Human', 'Iceborn']",Mana,['Ranged'],['Freljord'],2009-02-21
Aurelion Sol,Male,['Middle'],"['Celestial', 'Dragon']",Mana,['Ranged'],"['Runeterra', 'Targon']",2016-03-24
Aurora,Female,"['Top', 'Middle']",['Vastayan'],Mana,['Ranged'],['Freljord'],2024-07-17
Azir,Male,['Middle'],['God-Warrior'],Mana,['Ranged'],['Shurima'],2014-09-16
Bard,Male,['Support'],['Celestial'],Mana,['Ranged'],['Runeterra'],2015-03-12
Bel'Veth,Female,['Jungle'],['Void-Being'],Manaless,['Melee'],['Void'],2022-06-09
Blitzcrank,Other,['Support'],['Golem'],Mana,['Melee'],['Zaun'],2009-09-02
Brand,Male,['Support'],"['Human', 'Magically Altered']",Mana,['Ranged'],"['Freljord', 'Runeterra']",2011-04-12
Braum,Male,['Support'],"['Human', 'Iceborn']",Mana,['Melee'],['Freljord'],2014-05-12
Briar,Female,['Jungle'],['Golem'],Health costs,['Melee'],['Noxus'],2023-09-14
Caitlyn,Female,['Bottom'],['Human'],Mana,['Ranged'],['Piltover'],2011-01-04
